"Chr"	"Start"	"End"	"Strand"	"MiRNA"	"cluster"
"1"	"chr1"	1167104	1167198	"+"	"hsa-mir-200b"	"chr1_1"
"2"	"chr1"	1167863	1167952	"+"	"hsa-mir-200a"	"chr1_1"
"3"	"chr1"	1169005	1169087	"+"	"hsa-mir-429"	"chr1_1"
"4"	"chr1"	40754355	40754446	"+"	"hsa-mir-30e"	"chr1_2"
"5"	"chr1"	40757284	40757372	"+"	"hsa-mir-30c-1"	"chr1_2"
"6"	"chr1"	51059837	51059905	"+"	"hsa-mir-4421"	"chr1_3"
"7"	"chr1"	51060018	51060103	"+"	"hsa-mir-6500"	"chr1_3"
"8"	"chr1"	62078786	62078859	"+"	"hsa-mir-3116-1"	"chr1_4"
"9"	"chr1"	62078789	62078856	"-"	"hsa-mir-3116-2"	"chr1_4"
"10"	"chr1"	65057755	65057842	"-"	"hsa-mir-3671"	"chr1_5"
"11"	"chr1"	65058434	65058508	"-"	"hsa-mir-101-1"	"chr1_5"
"12"	"chr1"	98045242	98045351	"-"	"hsa-mir-2682"	"chr1_6"
"13"	"chr1"	98046070	98046171	"-"	"hsa-mir-137"	"chr1_6"
"14"	"chr1"	170151378	170151462	"-"	"hsa-mir-3119-1"	"chr1_7"
"15"	"chr1"	170151378	170151462	"+"	"hsa-mir-3119-2"	"chr1_7"
"16"	"chr1"	171101728	171101806	"-"	"hsa-mir-1295a"	"chr1_8"
"17"	"chr1"	171101739	171101798	"+"	"hsa-mir-1295b"	"chr1_8"
"18"	"chr1"	172138798	172138907	"-"	"hsa-mir-214"	"chr1_9"
"19"	"chr1"	172138808	172138888	"+"	"hsa-mir-3120"	"chr1_9"
"20"	"chr1"	172144535	172144644	"-"	"hsa-mir-199a-2"	"chr1_9"
"21"	"chr1"	198858873	198858982	"-"	"hsa-mir-181b-1"	"chr1_10"
"22"	"chr1"	198859044	198859153	"-"	"hsa-mir-181a-1"	"chr1_10"
"23"	"chr1"	207801852	207801939	"-"	"hsa-mir-29c"	"chr1_11"
"24"	"chr1"	207802443	207802523	"-"	"hsa-mir-29b-2"	"chr1_11"
